date,campaign_group,spend,clicks,observed_cpc
2025-01-01,Brand Search,2205.31,1392,1.5843
2025-01-02,Brand Search,1203.36,698,1.724
2025-01-03,Brand Search,2381.31,1129,2.1092
2025-01-04,Brand Search,2463.59,1122,2.1957
2025-01-05,Brand Search,743.61,546,1.3619
2025-01-06,Brand Search,1041.72,733,1.4212
2025-01-07,Brand Search,2018.08,1042,1.9367
2025-01-08,Brand Search,1699.05,856,1.9849
2025-01-09,Brand Search,1849.38,912,2.0278
2025-01-10,Brand Search,1214.32,781,1.5548
2025-01-11,Brand Search,2401.11,1287,1.8657
2025-01-12,Brand Search,2339.35,1238,1.8896
2025-01-13,Brand Search,1850.62,927,1.9964
2025-01-14,Brand Search,3070.67,1460,2.1032
2025-01-15,Brand Search,2361.37,1195,1.976
2025-01-16,Brand Search,1298.24,784,1.6559
2025-01-17,Brand Search,2028.58,1155,1.7563
2025-01-18,Brand Search,1109.44,701,1.5826
2025-01-19,Brand Search,2440.37,1294,1.8859
2025-01-20,Brand Search,1762.65,963,1.8304
2025-01-21,Brand Search,1769.71,987,1.793
2025-01-22,Brand Search,1457.76,889,1.6398
2025-01-23,Brand Search,3112.34,1245,2.4999
2025-01-24,Brand Search,1628.33,875,1.861
2025-01-25,Brand Search,1386.36,768,1.8052
2025-01-26,Brand Search,1455.43,782,1.8612
2025-01-27,Brand Search,2250.96,1110,2.0279
2025-01-28,Brand Search,2229.87,1316,1.6944
2025-01-29,Brand Search,2307.67,1065,2.1668
2025-01-30,Brand Search,2231.9,1249,1.7869
2025-01-01,Non-Brand Search,2764.76,1870,1.4785
2025-01-02,Non-Brand Search,4674.53,2624,1.7815
2025-01-03,Non-Brand Search,5374.62,2830,1.8992
2025-01-04,Non-Brand Search,6132.9,3286,1.8664
2025-01-05,Non-Brand Search,6571.79,2868,2.2914
2025-01-06,Non-Brand Search,7256.26,3201,2.2669
2025-01-07,Non-Brand Search,4772.46,2305,2.0705
2025-01-08,Non-Brand Search,4616.21,2332,1.9795
2025-01-09,Non-Brand Search,7714.72,4202,1.836
2025-01-10,Non-Brand Search,4631.98,2364,1.9594
2025-01-11,Non-Brand Search,2805.74,1670,1.6801
2025-01-12,Non-Brand Search,3028.57,2174,1.3931
2025-01-13,Non-Brand Search,3534.21,2023,1.747
2025-01-14,Non-Brand Search,6808.25,3949,1.724
2025-01-15,Non-Brand Search,5951.12,2894,2.0564
2025-01-16,Non-Brand Search,7190.67,3688,1.9497
2025-01-17,Non-Brand Search,4194.97,2168,1.9349
2025-01-18,Non-Brand Search,5124.54,2749,1.8641
2025-01-19,Non-Brand Search,6339.62,3771,1.6812
2025-01-20,Non-Brand Search,4566.44,2117,2.157
2025-01-21,Non-Brand Search,6693.74,3755,1.7826
2025-01-22,Non-Brand Search,4245.04,2525,1.6812
2025-01-23,Non-Brand Search,4619.55,2449,1.8863
2025-01-24,Non-Brand Search,4275.93,2075,2.0607
2025-01-25,Non-Brand Search,2901.43,1812,1.6012
2025-01-26,Non-Brand Search,5981.07,3050,1.961
2025-01-27,Non-Brand Search,4269.56,2535,1.6842
2025-01-28,Non-Brand Search,5554.31,3067,1.811
2025-01-29,Non-Brand Search,6859.77,4408,1.5562
2025-01-30,Non-Brand Search,6490.4,3377,1.9219
2025-01-01,Competitor Search,1823.48,222,8.2139
2025-01-02,Competitor Search,2900.63,267,10.8638
2025-01-03,Competitor Search,2752.7,236,11.664
2025-01-04,Competitor Search,4242.56,370,11.4664
2025-01-05,Competitor Search,3461.39,344,10.0622
2025-01-06,Competitor Search,3020.42,406,7.4395
2025-01-07,Competitor Search,5107.79,457,11.1768
2025-01-08,Competitor Search,1701.2,249,6.8321
2025-01-09,Competitor Search,2056.36,229,8.9797
2025-01-10,Competitor Search,1700.67,184,9.2428
2025-01-11,Competitor Search,2035.19,213,9.5549
2025-01-12,Competitor Search,1367.13,170,8.042
2025-01-13,Competitor Search,3394.9,461,7.3642
2025-01-14,Competitor Search,2516.44,250,10.0658
2025-01-15,Competitor Search,1511.16,226,6.6865
2025-01-16,Competitor Search,1756.09,195,9.0056
2025-01-17,Competitor Search,2862.97,349,8.2034
2025-01-18,Competitor Search,3408.67,362,9.4162
2025-01-19,Competitor Search,5638.12,468,12.0473
2025-01-20,Competitor Search,8840.41,640,13.8131
2025-01-21,Competitor Search,3287.84,306,10.7446
2025-01-22,Competitor Search,1849.67,244,7.5806
2025-01-23,Competitor Search,1098.75,153,7.1814
2025-01-24,Competitor Search,2808.42,254,11.0568
2025-01-25,Competitor Search,1703.82,182,9.3616
2025-01-26,Competitor Search,2047.2,251,8.1562
2025-01-27,Competitor Search,2010.6,302,6.6576
2025-01-28,Competitor Search,2604.0,294,8.8571
2025-01-29,Competitor Search,4385.59,399,10.9915
2025-01-30,Competitor Search,2873.68,319,9.0084
