DATE,signups,facebook_impressions,ppc_impressions,youtube_impressions,facebook_spend,ppc_spend,youtube_spend
2023-01-02,397,787032,502219,1246583,8957.81,7380.6,10695.31
2023-01-09,448,946829,498181,1115604,10489.95,8589.94,7785.08
2023-01-16,470,978046,474481,1312578,10020.07,8803.27,10174.57
2023-01-23,457,989117,470570,1501173,12189.15,9073.68,10258.47
2023-01-30,477,1027400,433277,1240851,11090.61,6414.23,9581.52
2023-02-06,445,828042,406456,1473152,9863.99,7445.6,14550.21
2023-02-13,469,846826,360978,1319709,7806.1,7368.59,11536.53
2023-02-20,421,626104,329428,1248813,7983.97,5812.02,9874.94
2023-02-27,444,759244,320704,1160953,7517.79,5711.89,8204.32
2023-03-06,454,654036,366737,893139,6911.33,6931.67,6866.98
2023-03-13,444,672455,275327,628650,8587.45,5091.96,5689.74
2023-03-20,436,597243,324551,1026128,5911.89,6279.83,7632.66
2023-03-27,480,776134,340512,982089,8851.54,6178.53,9281.15
2023-04-03,442,709802,424423,813676,8225.97,7769.06,5391.71
2023-04-10,452,893948,496955,936873,9209.21,8167.51,7223.25
2023-04-17,416,979627,515758,939949,12844.4,9107.84,9157.71
2023-04-24,494,922259,471641,860264,12264.69,9671.58,5154.84
2023-05-01,464,1013242,498745,1284495,9255.01,8773.75,11802.47
2023-05-08,445,845626,454473,1150823,8254.33,8027.3,7075.98
2023-05-15,497,971043,509267,1234013,12108.79,8666.19,9760.94
2023-05-22,490,885294,455885,1012554,8796.61,8923.67,7925.73
2023-05-29,465,632751,471184,1073376,6981.54,7675.9,9471.79
2023-06-05,433,634715,406766,1269233,7397.9,8062.51,6980.78
2023-06-12,470,686439,391898,1642565,8463.95,6319.77,9990.39
2023-06-19,444,707660,316057,1276877,7948.51,5020.39,9492.28
2023-06-26,434,641508,374385,1263144,7450.64,6893.13,10151.76
2023-07-03,475,793677,365251,1208661,8387.51,6669.62,8589.69
2023-07-10,408,857221,260623,1109856,11187.45,4846.31,8633.72
2023-07-17,467,897041,384472,1340220,9782.79,7737.53,9132.03
2023-07-24,465,977026,407132,1133831,11634.11,6992.49,8615.67
2023-07-31,496,1065930,468505,1073438,11603.75,8848.18,7678.55
2023-08-07,459,828377,500769,1018779,9632.03,8102.62,8398.84
2023-08-14,415,953502,485165,1166149,10772.86,9954.78,10007.21
2023-08-21,431,724624,575610,886897,8191.91,11089.08,8366.04
2023-08-28,433,634174,459220,832249,6521.5,8758.72,6111.69
2023-09-04,443,759796,540659,943435,9463.79,9935.02,7247.47
2023-09-11,441,407484,518504,950006,5377.5,8518.4,7645.41
2023-09-18,385,602370,431884,921059,7103.01,7491.14,7096.84
2023-09-25,418,871589,380825,925232,10789.22,7237.02,7353.75
2023-10-02,444,922561,375294,1003569,11537.25,6740.88,6460.8
2023-10-09,452,892450,309905,1153950,11256.99,5654.99,9660.58
2023-10-16,465,839272,383314,1197952,9957.14,5857.18,8487.26
2023-10-23,433,1184196,344170,1438594,13919.88,6319.72,10132.07
2023-10-30,456,851009,326036,1352268,10668.94,5417.46,8670.57
2023-11-06,470,1076477,267839,1469563,12468.4,4240.79,13462.67
2023-11-13,475,896299,434772,1442520,9259.93,7691.4,11337.33
2023-11-20,460,761610,371896,1174569,8780.31,5313.28,10746.71
2023-11-27,469,698226,419678,1565346,6447.35,8140.55,12949.02
2023-12-04,440,576705,474534,1046608,6628.02,9350.23,6590.11
2023-12-11,434,585721,498262,1292181,7026.33,8915.47,8937.11
2023-12-18,484,782192,501936,966753,10155.34,8037.22,8466.76
2023-12-25,466,757556,533264,1101774,8849.42,8590.5,7970.58
2024-01-01,474,736974,554925,980669,9296.02,9820.92,6776.09
2024-01-08,470,946634,543844,991451,10885.68,7152.93,7753.77
2024-01-15,476,973924,556992,903613,10003.98,10226.91,7069.0
2024-01-22,483,952051,433343,1044642,9336.14,8376.02,7300.1
2024-01-29,460,978987,418742,1009325,10119.12,7276.15,7745.41
2024-02-05,467,873205,288067,916671,8610.34,4900.37,6894.74
2024-02-12,471,863753,316120,1034601,10590.0,5805.21,5690.31
2024-02-19,462,811604,286758,1048215,9131.25,5362.74,8912.62
2024-02-26,444,662988,264796,1109805,8078.1,5345.79,7977.97
2024-03-04,475,627628,309943,1193340,7273.02,5590.37,11103.36
2024-03-11,499,665241,339774,1249585,8483.72,5647.2,8559.5
2024-03-18,459,743219,363300,1310570,9492.56,6204.25,8414.39
2024-03-25,502,716598,530275,1068160,7685.94,9737.91,9813.85
2024-04-01,497,862576,446335,1327756,9635.68,9423.21,8517.48
2024-04-08,444,1054793,486125,1641233,11455.69,8438.86,12085.75
2024-04-15,478,908344,519696,1273022,8678.7,8260.53,10944.6
2024-04-22,479,916526,512812,1265977,11282.67,8338.21,9710.49
2024-04-29,502,986527,409196,1510899,12752.4,5649.91,9585.94
2024-05-06,497,904332,564942,1054141,10392.85,10541.58,8631.35
2024-05-13,502,869405,602539,998930,9483.62,9205.2,7797.33
2024-05-20,488,622346,403711,1099282,7971.69,6270.84,10205.57
2024-05-27,463,743039,453437,935831,6454.07,6369.87,8037.53
2024-06-03,452,487495,346187,1073475,5710.01,5457.29,11846.56
2024-06-10,436,663222,255418,867375,7741.09,4887.89,5511.39
2024-06-17,471,777698,427227,924902,8410.78,6569.6,7379.17
2024-06-24,458,744187,275723,744258,9800.86,3998.18,5160.2
2024-07-01,471,804222,366124,953169,10185.38,6720.77,8726.03
2024-07-08,450,840611,313925,820248,9403.59,5436.45,7236.1
2024-07-15,483,844009,424324,680250,9618.3,8004.6,5954.94
2024-07-22,491,948693,448549,1248783,10468.23,8738.23,9019.55
2024-07-29,505,974720,505174,1073486,10610.27,9084.55,7787.98
2024-08-05,485,852366,456163,1396093,8464.13,7026.95,8335.12
2024-08-12,481,932557,525855,1693989,12268.66,9335.2,16447.79
2024-08-19,483,754012,537916,1350246,9601.29,10220.68,11488.19
2024-08-26,480,660668,608150,1536641,8230.47,10237.61,11892.28
2024-09-02,441,505744,468518,1405594,5151.91,7086.37,12556.9
2024-09-09,470,691799,399436,1043610,9683.12,8070.7,9132.54
2024-09-16,472,480290,425104,1289295,6664.6,7298.83,11571.76
2024-09-23,477,747420,360735,1091428,8763.99,6197.98,6959.45
2024-09-30,442,617926,380576,1233173,6435.66,6862.52,8985.1
2024-10-07,455,973020,379066,1087202,10178.06,7604.43,8910.1
2024-10-14,456,1069571,325396,951949,12837.26,6028.69,7953.94
2024-10-21,442,931836,305216,687697,9695.17,5290.47,6159.86
2024-10-28,461,982372,354725,865151,11256.95,6869.0,6048.59
2024-11-04,453,855116,382494,1095125,10950.94,8527.34,8900.31
2024-11-11,452,846520,372527,774994,8204.31,7739.46,7909.09
